close,date,minute
10017.35,2017-08-11,09:17:00
10026.95,2017-08-11,09:18:00
10021.05,2017-08-11,09:19:00
10017.7,2017-08-11,09:20:00
10029.0,2017-08-11,09:21:00
10032.9,2017-08-11,09:22:00
10029.0,2017-08-11,09:23:00
10031.5,2017-08-11,09:24:00
10032.55,2017-08-11,09:25:00
10029.75,2017-08-11,09:26:00
10023.5,2017-08-11,09:27:00
10015.2,2017-08-11,09:28:00
10010.7,2017-08-11,09:29:00
10016.45,2017-08-11,09:30:00
10026.05,2017-08-11,09:31:00
10028.95,2017-08-11,09:32:00
10035.0,2017-08-11,09:33:00
10038.1,2017-08-11,09:34:00
10039.05,2017-08-11,09:35:00
10039.5,2017-08-11,09:36:00
10035.75,2017-08-11,09:37:00
10039.85,2017-08-11,09:38:00
10039.3,2017-08-11,09:39:00
10027.1,2017-08-11,09:40:00
10031.05,2017-08-11,09:41:00
10038.0,2017-08-11,09:42:00
10032.4,2017-08-11,09:43:00
10037.5,2017-08-11,09:44:00
10039.65,2017-08-11,09:45:00
10039.4,2017-08-11,09:46:00
10039.2,2017-08-11,09:47:00
10034.95,2017-08-11,09:48:00
10031.4,2017-08-11,09:49:00
10028.6,2017-08-11,09:50:00
10027.35,2017-08-11,09:51:00
10031.2,2017-08-11,09:52:00
10033.1,2017-08-11,09:53:00
10027.65,2017-08-11,09:54:00
10024.8,2017-08-11,09:55:00
10027.2,2017-08-11,09:56:00
10026.75,2017-08-11,09:57:00
10023.45,2017-08-11,09:58:00
10020.7,2017-08-11,09:59:00
10014.85,2017-08-11,10:00:00
10015.5,2017-08-11,10:01:00
10014.45,2017-08-11,10:02:00
10016.05,2017-08-11,10:03:00
10020.35,2017-08-11,10:04:00
10023.5,2017-08-11,10:05:00
10031.65,2017-08-11,10:06:00
10031.8,2017-08-11,10:07:00
10029.7,2017-08-11,10:08:00
10024.0,2017-08-11,10:09:00
10030.5,2017-08-11,10:10:00
10030.8,2017-08-11,10:11:00
10027.65,2017-08-11,10:12:00
10035.45,2017-08-11,10:13:00
10039.75,2017-08-11,10:14:00
10107.55,2017-08-14,09:15:00
10107.5,2017-08-14,09:16:00
10106.85,2017-08-14,09:17:00
10106.2,2017-08-14,09:18:00
10105.5,2017-08-14,09:19:00
10109.5,2017-08-14,09:20:00
10111.0,2017-08-14,09:21:00
10105.4,2017-08-14,09:22:00
10101.8,2017-08-14,09:23:00
10098.4,2017-08-14,09:24:00
10106.55,2017-08-14,09:25:00
10107.5,2017-08-14,09:26:00
